title,keyword,source
Crowd -designed motivation: Motivational messages for exercise adherence based on behavior change theory,crowd,Human Factors in Computing Systems
"Crowd size, diversity and performance",crowd,Human Factors in Computing Systems
"Emerging sites of HCI innovation: hackerspaces, hardware startups & incubators",crowd,Human Factors in Computing Systems
A data-driven analysis of workers' earnings on Amazon Mechanical Turk,crowd,Human Factors in Computing Systems
Graffito: crowd -based performative interaction at festivals,crowd,Human Factors in Computing Systems
Combining crowdsourcing and google street view to identify street-level accessibility problems,crowd,Human Factors in Computing Systems
"Respeak: A voice-based, crowd -powered speech transcription system",crowd,Human Factors in Computing Systems
Who are the crowdworkers? Shifting demographics in Mechanical Turk,crowd,Human Factors in Computing Systems
Distributed analogical idea generation: inventing with crowds,crowd,Human Factors in Computing Systems
The effects of sequence and delay on crowd work,crowd,Human Factors in Computing Systems
Strategies for crowdsourcing social data analysis,crowd,Human Factors in Computing Systems
Improving crowd -supported gui testing with structural guidance,crowd,Human Factors in Computing Systems
Twitinfo: aggregating and visualizing microblogs for event exploration,crowd,Human Factors in Computing Systems
Crowdsourcing graphical perception: using mechanical turk to assess visualization design,crowd,Human Factors in Computing Systems
Unlocking the expressivity of point lights,crowd,Human Factors in Computing Systems
Crowd computer interaction,crowd,Human Factors in Computing Systems
Crowdfunding inside the enterprise: employee-initiatives for innovation and collaboration,crowd,Human Factors in Computing Systems
Heteroglossia: In-situ story ideation with the crowd,crowd,Human Factors in Computing Systems
""" Hi! I am the Crowd Tasker"" Crowdsourcing through Digital Voice Assistants",crowd,Human Factors in Computing Systems
Tangible programming in the classroom with tern,crowd,Human Factors in Computing Systems
Crowdsourcing user studies with Mechanical Turk,crowd,Human Factors in Computing Systems
Show me the money! An analysis of project updates during crowdfunding campaigns,crowd,Human Factors in Computing Systems
Turkopticon: Interrupting worker invisibility in amazon mechanical turk,crowd,Human Factors in Computing Systems
The effect of peripheral micro-tasks on crowd ideation,crowd,Human Factors in Computing Systems
A pilot study of using crowds in the classroom,crowd,Human Factors in Computing Systems
Modeling task performance for a crowd of users from interaction histories,crowd,Human Factors in Computing Systems
Characterizing debate performance via aggregated twitter sentiment,crowd,Human Factors in Computing Systems
Finding dependencies between actions using the crowd,crowd,Human Factors in Computing Systems
"Coordinating tasks on the commons: designing for personal goals, expertise and serendipity",crowd,Human Factors in Computing Systems
