title,url
Expert recommender systems in practice: evaluating semi-automatic profile generation,"https://scholar.google.com/scholar?start=0&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Expert voices in echo chambers: effects of source expertise indicators on exposure to diverse opinions,"https://scholar.google.com/scholar?start=0&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Explaining decision-making algorithms through UI: Strategies to help non- expert stakeholders,"https://scholar.google.com/scholar?start=0&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
User learning and performance with marking menus,"https://scholar.google.com/scholar?start=10&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
A predictive model of menu performance,"https://scholar.google.com/scholar?start=10&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Studying cooperation and conflict between authors with history flow visualizations,"https://scholar.google.com/scholar?start=10&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Self-tracking for mental wellness: understanding expert perspectives and student experiences,"https://scholar.google.com/scholar?start=10&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Dynamic queries for information exploration: An implementation and evaluation,"https://scholar.google.com/scholar?start=10&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
What do novice programmers know about recursion,"https://scholar.google.com/scholar?start=10&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Model for non- expert text entry speed on 12-button phone keypads,"https://scholar.google.com/scholar?start=10&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Agents to assist in finding help,"https://scholar.google.com/scholar?start=10&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Why and why not explanations improve the intelligibility of context-aware intelligent systems,"https://scholar.google.com/scholar?start=10&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Design lessons from the fastest q&a site in the west,"https://scholar.google.com/scholar?start=20&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
The limits of expert performance using hierarchic marking menus,"https://scholar.google.com/scholar?start=20&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
