title,year,conf,conf_long
DeepRec: On-device Deep Learning for Privacy-Preserving Sequential Recommendation in Mobile Commerce,2021,WWW,International World Wide Web Conference
DeepVista: 16K Panoramic Cinema on Your Mobile Device,2021,WWW,International World Wide Web Conference
Demystifying Illegal Mobile Gambling Apps,2021,WWW,International World Wide Web Conference
Density-Ratio Based Personalised Ranking from Implicit Feedback,2021,WWW,International World Wide Web Conference
Detecting and Quantifying Wash Trading on Decentralized Cryptocurrency Exchanges,2021,WWW,International World Wide Web Conference
DF-TAR: A Deep Fusion Network for Citywide Traffic Accident Risk Prediction with Dangerous Driving Behavior,2021,WWW,International World Wide Web Conference
Dialect Diversity in Text Summarization on Twitter,2021,WWW,International World Wide Web Conference
DISCOS: Bridging the Gap between Discourse Knowledge and Commonsense Knowledge,2021,WWW,International World Wide Web Conference
Disentangling User Interest and Conformity for Recommendation with Causal Embedding,2021,WWW,International World Wide Web Conference
Dissecting Performance of Production QUIC,2021,WWW,International World Wide Web Conference
DistCare: Distilling Knowledge from Publicly Available Online EMR Data to Emerging Epidemic for Prognosis,2021,WWW,International World Wide Web Conference
Distillation FrameworkExtract the Knowledge of Graph Neural Networks and Go Beyond it: An Effective Knowledge,2021,WWW,International World Wide Web Conference
Diverse and Specific Clarification Question Generation with Keywords,2021,WWW,International World Wide Web Conference
Diversification-Aware Learning to Rank using Distributed Representation,2021,WWW,International World Wide Web Conference
Diversified Recommendation Through Similarity-Guided Graph Neural Networks,2021,WWW,International World Wide Web Conference
Diversity on the Go! Streaming Determinantal Point Processes under a Maximum Induced Cardinality Objective,2021,WWW,International World Wide Web Conference
Dr.Emotion: Disentangled Representation Learning for Emotion Analysis on Social Media to Improve Community Resilience in the COVID-19 Era and Beyond,2021,WWW,International World Wide Web Conference
Drug Package Recommendation via Interaction-aware Graph Induction,2021,WWW,International World Wide Web Conference
Dual Side Deep Context-aware Modulation for Social Recommendation,2021,WWW,International World Wide Web Conference
DYMOND: DYnamic MOtif-NoDes Network Generative Model,2021,WWW,International World Wide Web Conference
Dynamic Embeddings for Interaction Prediction,2021,WWW,International World Wide Web Conference
ECLARE: Extreme Classification with Label Graph Correlations,2021,WWW,International World Wide Web Conference
Effective and Scalable Clustering on Massive Attributed Graphs,2021,WWW,International World Wide Web Conference
Effective Named Entity Recognition with Boundary-aware Bidirectional Neural Networks,2021,WWW,International World Wide Web Conference
Efficient Computation of Semantically Cohesive Subgraphs for Keyword-Based Knowledge Graph Exploration,2021,WWW,International World Wide Web Conference
Efficient Knowledge Graph Embedding without Negative Sampling,2021,WWW,International World Wide Web Conference
Efficient Probabilistic Truss Indexing on Uncertain Graphs,2021,WWW,International World Wide Web Conference
Efficient Reductions and A Fast Algorithm of Maximum Weighted Independent Set,2021,WWW,International World Wide Web Conference
ELIXIR: Learning from User Feedback on Explanations to Improve Recommender Models,2021,WWW,International World Wide Web Conference
Elo-MMR: A Rating System for Massive Multiplayer Competitions,2021,WWW,International World Wide Web Conference
Enquire One’s Parent and Child Before Decision: Fully Exploit Hierarchical Structure for Self-Supervised Taxonomy Expansion,2021,WWW,International World Wide Web Conference
Enriched Models for Legislative Edit Prediction,2021,WWW,International World Wide Web Conference
Equilibrium Inverse Reinforcement Learning for Ride-hailing Vehicle Network,2021,WWW,International World Wide Web Conference
Estimation of Fair Ranking Metrics with Incomplete Judgments,2021,WWW,International World Wide Web Conference
Evaluating the Rationales of Retail Investors,2021,WWW,International World Wide Web Conference
Exploring the Scale-Free Nature of Stock Markets: Hyperbolic Graph Learning for Algorithmic Trading,2021,WWW,International World Wide Web Conference
Extracting Contextualized Quantity Facts from Web Tables,2021,WWW,International World Wide Web Conference
Fair and Representative Subset Selection from Data Streams,2021,WWW,International World Wide Web Conference
Fair Partitioning of Public Resources: Redrawing District Boundary to Minimize Spatial Inequality in School Funding,2021,WWW,International World Wide Web Conference
Fairness Aware PageRank,2021,WWW,International World Wide Web Conference
"FANCY: Human-centered, Deep Learning-based Framework for Fashion Style Analysis",2021,WWW,International World Wide Web Conference
Fast Evaluation for Relevant Quantities of Opinion Dynamics,2021,WWW,International World Wide Web Conference
FedPS: A Privacy Protection Enhanced Personalized Search Framework,2021,WWW,International World Wide Web Conference
Few-Shot Knowledge Validation using Rules,2021,WWW,International World Wide Web Conference
Few-Shot Molecular Property Prediction,2021,WWW,International World Wide Web Conference
Few-shot Network Anomaly Detection via Cross-network Meta-learning,2021,WWW,International World Wide Web Conference
Field-aware Embedding Space Searching in Recommender Systems,2021,WWW,International World Wide Web Conference
Fine-grained Urban Flow Prediction,2021,WWW,International World Wide Web Conference
FINN: Feedback Interactive Neural Network for Intent Recommendation,2021,WWW,International World Wide Web Conference
FM^2: Field-matrixed Factorization Machines for CTR Prediction,2021,WWW,International World Wide Web Conference
"From personal data to digital legacy: Exploring conflicts in the sharing, security and privacy of post-mortem data",2021,WWW,International World Wide Web Conference
Future-Aware Diverse Trends Framework for Recommendation,2021,WWW,International World Wide Web Conference
GalaXC: Graph neurAI networks with Labelwise Attention for eXtreme Classification,2021,WWW,International World Wide Web Conference
Generalizing Discriminative Retrieval Models using Generative Tasks,2021,WWW,International World Wide Web Conference
Generating Accurate Caption Units For Figure Captioning,2021,WWW,International World Wide Web Conference
