title,year,conf,conf_long
Delving into Data: Effectively Substitute Training for Black-box Attack,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
How To Exploit the Transferability of Learned Image Compression to Conventional Codecs,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
CorrNet3D: Unsupervised End-to-End Learning of Dense Correspondence for 3D Point Clouds,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Single-View Robot Pose and Joint Angle Estimation via Render & Compare,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Harmonious Semantic Line Detection via Maximal Weight Clique Selection,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Learning the Non-Differentiable Optimization for Blind Super-Resolution,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Progressive Temporal Feature Alignment Network for Video Inpainting,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Bottleneck Transformers for Visual Recognition,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Calibrated RGB-D Salient Object Detection,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
"S3: Neural Shape, Skeleton, and Skinning Fields for 3D Human Modeling",2021,CVPR,The Conference on Computer Vision and Pattern Recognition
OSTeC: One-Shot Texture Completion,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Learning To Count Everything,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Robust Representation Learning With Feedback for Single Image Deraining,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
"Fully Understanding Generic Objects: Modeling, Segmentation, and Reconstruction",2021,CVPR,The Conference on Computer Vision and Pattern Recognition
SSN: Soft Shadow Network for Image Compositing,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
MIST: Multiple Instance Self-Training Framework for Video Anomaly Detection,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
VinVL: Revisiting Visual Representations in Vision-Language Models,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Bottom-Up Human Pose Estimation via Disentangled Keypoint Regression,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
CoMoGAN: Continuous Model-Guided Image-to-Image Translation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Self-Supervised Video Hashing via Bidirectional Transformers,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
From Synthetic to Real: Unsupervised Domain Adaptation for Animal Pose Estimation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Safe Local Motion Planning With Self-Supervised Freespace Forecasting,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Camera-Space Hand Mesh Recovery via Semantic Aggregation and Adaptive 2D-1D Registration,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
CondenseNet V2: Sparse Feature Reactivation for Deep Networks,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Learning Graphs for Knowledge Transfer With Limited Labels,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
DRANet: Disentangling Representation and Adaptation Networks for Unsupervised Cross-Domain Adaptation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Look Before You Leap: Learning Landmark Features for One-Stage Visual Grounding,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Information Bottleneck Disentanglement for Identity Swapping,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
DualGraph: A Graph-Based Method for Reasoning About Label Noise,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Automatic Correction of Internal Units in Generative Neural Networks,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Generating Manga From Illustrations via Mimicking Manga Creation Workflow,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Multi-Decoding Deraining Network and Quasi-Sparsity Based Training,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Open-Vocabulary Object Detection Using Captions,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Unveiling the Potential of Structure Preserving for Weakly Supervised Object Localization,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
From Points to Multi-Object 3D Reconstruction,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Dual-Stream Multiple Instance Learning Network for Whole Slide Image Classification With Self-Supervised Contrastive Learning,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Regressive Domain Adaptation for Unsupervised Keypoint Detection,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Mask Guided Matting via Progressive Refinement Network,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Monocular Reconstruction of Neural Face Reflectance Fields,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
SelfSAGCN: Self-Supervised Semantic Alignment for Graph Convolution Network,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
ECKPN: Explicit Class Knowledge Propagation Network for Transductive Few-Shot Learning,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Coarse-Fine Networks for Temporal Activity Detection in Videos,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Can Audio-Visual Integration Strengthen Robustness Under Multimodal Attacks?,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Deep Gradient Projection Networks for Pan-sharpening,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
ReNAS: Relativistic Evaluation of Neural Architecture Search,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
When Human Pose Estimation Meets Robustness: Adversarial Algorithms and Benchmarks,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
ReMix: Towards Image-to-Image Translation With Limited Data,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Adaptive Rank Estimate in Robust Principal Component Analysis,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Continual Adaptation of Visual Representations via Domain Randomization and Meta-Learning,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
DeepACG: Co-Saliency Detection via Semantic-Aware Contrast Gromov-Wasserstein Distance,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
SurFree: A Fast Surrogate-Free Black-Box Attack,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Beyond Image to Depth: Improving Depth Prediction Using Echoes,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Rich Features for Perceptual Quality Assessment of UGC Videos,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Sequential Graph Convolutional Network for Active Learning,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Generative Classifiers as a Basis for Trustworthy Image Classification,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
"EffiScene: Efficient Per-Pixel Rigidity Inference for Unsupervised Joint Learning of Optical Flow, Depth, Camera Pose and Motion Segmentation",2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Localizing Visual Sounds the Hard Way,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Synthesize-It-Classifier: Learning a Generative Classifier Through Recurrent Self-Analysis,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Self-Point-Flow: Self-Supervised Scene Flow Estimation From Point Clouds With Optimal Transport and Random Walk,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Toward Joint Thing-and-Stuff Mining for Weakly Supervised Panoptic Segmentation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Intelligent Carpet: Inferring 3D Human Pose From Tactile Signals,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Railroad Is Not a Train: Saliency As Pseudo-Pixel Supervision for Weakly Supervised Semantic Segmentation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Stable View Synthesis,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Deep Two-View Structure-From-Motion Revisited,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Rethinking Style Transfer: From Pixels to Parameterized Brushstrokes,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
"Cluster, Split, Fuse, and Update: Meta-Learning for Open Compound Domain Adaptive Semantic Segmentation",2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Beyond Short Clips: End-to-End Video-Level Learning With Collaborative Memories,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
PointDSC: Robust Point Cloud Registration Using Deep Spatial Consistency,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Task Programming: Learning Data Efficient Behavior Representations,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
ACRE: Abstract Causal REasoning Beyond Covariation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
