title,year,conf,conf_long
Quantitative Understanding of VAE as a Non-linearly Scaled Isometric Embedding,2021,ICML,International Conference on Machine Learning
SCC: an efficient deep reinforcement learning agent mastering the game of StarCraft II,2021,ICML,International Conference on Machine Learning
Cross-Gradient Aggregation for Decentralized Learning from Non-IID Data,2021,ICML,International Conference on Machine Learning
Meta-StyleSpeech : Multi-Speaker Adaptive Text-to-Speech Generation,2021,ICML,International Conference on Machine Learning
Zero-Shot Text-to-Image Generation,2021,ICML,International Conference on Machine Learning
Rethinking Rotated Object Detection with Gaussian Wasserstein Distance Loss,2021,ICML,International Conference on Machine Learning
Sequential Domain Adaptation by Synthesizing Distributionally Robust Experts,2021,ICML,International Conference on Machine Learning
High-Performance Large-Scale Image Recognition Without Normalization,2021,ICML,International Conference on Machine Learning
The Earth Mover's Pinball Loss: Quantiles for Histogram-Valued Regression,2021,ICML,International Conference on Machine Learning
Learning Fair Policies in Decentralized Cooperative Multi-Agent Reinforcement Learning,2021,ICML,International Conference on Machine Learning
Asynchronous Distributed Learning : Adapting to Gradient Delays without Prior Knowledge,2021,ICML,International Conference on Machine Learning
Towards Domain-Agnostic Contrastive Learning,2021,ICML,International Conference on Machine Learning
Fast Stochastic Bregman Gradient Methods: Sharp Analysis and Variance Reduction,2021,ICML,International Conference on Machine Learning
Network Inference and Influence Maximization from Samples,2021,ICML,International Conference on Machine Learning
Prioritized Level Replay,2021,ICML,International Conference on Machine Learning
Understanding Failures in Out-of-Distribution Detection with Deep Generative Models,2021,ICML,International Conference on Machine Learning
Three Operator Splitting with a Nonconvex Loss Function,2021,ICML,International Conference on Machine Learning
Data augmentation for deep learning based accelerated MRI reconstruction with limited data,2021,ICML,International Conference on Machine Learning
Marginal Contribution Feature Importance - an Axiomatic Approach for Explaining Data,2021,ICML,International Conference on Machine Learning
Out-of-Distribution Generalization via Risk Extrapolation (REx),2021,ICML,International Conference on Machine Learning
Low-Precision Reinforcement Learning: Running Soft Actor-Critic in Half Precision,2021,ICML,International Conference on Machine Learning
On a Combination of Alternating Minimization and Nesterov's Momentum,2021,ICML,International Conference on Machine Learning
Reinforcement Learning Under Moral Uncertainty,2021,ICML,International Conference on Machine Learning
Concentric mixtures of Mallows models for top-$k$ rankings: sampling and identifiability,2021,ICML,International Conference on Machine Learning
DFAC Framework: Factorizing the Value Function via Quantile Mixture for Multi-Agent Distributional Q-Learning,2021,ICML,International Conference on Machine Learning
Regularized Submodular Maximization at Scale,2021,ICML,International Conference on Machine Learning
Differentiable Sorting Networks for Scalable Sorting and Ranking Supervision,2021,ICML,International Conference on Machine Learning
On the Predictability of Pruning Across Scales,2021,ICML,International Conference on Machine Learning
Oblivious Sketching-based Central Path Method for Linear Programming,2021,ICML,International Conference on Machine Learning
Equivariant message passing for the prediction of tensorial properties and molecular spectra,2021,ICML,International Conference on Machine Learning
Locally Persistent Exploration in Continuous Control Tasks with Sparse Rewards,2021,ICML,International Conference on Machine Learning
AlphaNet: Improved Training of Supernets with Alpha-Divergence,2021,ICML,International Conference on Machine Learning
AutoAttend: Automated Attention Representation Search,2021,ICML,International Conference on Machine Learning
Accumulated Decoupled Learning with Gradient Staleness Mitigation for Convolutional Neural Networks,2021,ICML,International Conference on Machine Learning
